Round: 42| client: 2, class: 0
Round: 42| client: 0, class: 0
Correct: 110, Incorrect: 105
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 43| client: 6, class: 0
Round: 43| client: 8, class: 0
Round: 43| client: 5, class: 1
Round: 43| client: 9, class: 0
Round: 43| client: 7, class: 4
Round: 43| client: 1, class: 0
Round: 43| client: 4, class: 0
Round: 43| client: 3, class: 3
Round: 43| client: 2, class: 0
Round: 43| client: 0, class: 2
Correct: 111, Incorrect: 109
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 44| client: 6, class: 4
Round: 44| client: 8, class: 3
Round: 44| client: 5, class: 4
Round: 44| client: 9, class: 4
Round: 44| client: 7, class: 4
Round: 44| client: 1, class: 4
Round: 44| client: 4, class: 2
Round: 44| client: 3, class: 0
Round: 44| client: 2, class: 0
Round: 44| client: 0, class: 1
Correct: 113, Incorrect: 112
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 45| client: 6, class: 3
Round: 45| client: 8, class: 1
Round: 45| client: 5, class: 0
Round: 45| client: 9, class: 4
Round: 45| client: 7, class: 1
Round: 45| client: 1, class: 1
Round: 45| client: 4, class: 0
Round: 45| client: 3, class: 1
Round: 45| client: 2, class: 2
Round: 45| client: 0, class: 1
Correct: 115, Incorrect: 115
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 46| client: 6, class: 4
Round: 46| client: 8, class: 2
Round: 46| client: 5, class: 0
Round: 46| client: 9, class: 2
Round: 46| client: 7, class: 1
Round: 46| client: 1, class: 3
Round: 46| client: 4, class: 0
Round: 46| client: 3, class: 3
Round: 46| client: 2, class: 3
Round: 46| client: 0, class: 3
Correct: 119, Incorrect: 116
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 47| client: 6, class: 1
Round: 47| client: 8, class: 4
Round: 47| client: 5, class: 1
Round: 47| client: 9, class: 1
Round: 47| client: 7, class: 1
Round: 47| client: 1, class: 3
Round: 47| client: 4, class: 0
Round: 47| client: 3, class: 2
Round: 47| client: 2, class: 1
Round: 47| client: 0, class: 1
Correct: 120, Incorrect: 120
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 48| client: 6, class: 1
Round: 48| client: 8, class: 3
Round: 48| client: 5, class: 0
Round: 48| client: 9, class: 4
Round: 48| client: 7, class: 0
Round: 48| client: 1, class: 0
Round: 48| client: 4, class: 0
Round: 48| client: 3, class: 2
Round: 48| client: 2, class: 0
Round: 48| client: 0, class: 0
Correct: 122, Incorrect: 123
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 49| client: 6, class: 0
Round: 49| client: 8, class: 4
Round: 49| client: 5, class: 0
Round: 49| client: 9, class: 4
Round: 49| client: 7, class: 0
Round: 49| client: 1, class: 3
Round: 49| client: 4, class: 0
Round: 49| client: 3, class: 0
Round: 49| client: 2, class: 1
Round: 49| client: 0, class: 2
Correct: 125, Incorrect: 125
= = = = = = = = = = = = = = = = = = = = = = = = 
